ppinc7,Used_BNPL,count,percent
"Less than $10,000",Yes,73,16.78
"Less than $10,000",No,362,83.22
"$10,000 to $24,999",Yes,152,17.41
"$10,000 to $24,999",No,721,82.59
"$25,000 to $49,999",Yes,338,18.32
"$25,000 to $49,999",No,1507,81.68
"$50,000 to $74,999",Yes,271,14.99
"$50,000 to $74,999",No,1537,85.01
"$75,000 to $99,999",Yes,233,14.13
"$75,000 to $99,999",No,1416,85.87
"$100,000 to $149,999",Yes,304,12.8
"$100,000 to $149,999",No,2071,87.2
"$150,000 or more",Yes,299,9.03
"$150,000 or more",No,3011,90.97